api_stadium_id,name,city,country,capacity,raw_json
12,BC Place,"Vancouver, BC",Canada,54500,"{""id"":12,""name"":""BC Place"",""city"":""Vancouver, BC"",""country"":""Canada"",""capacity"":54500}"
13,BMO Field,"Toronto, ON",Canada,45736,"{""id"":13,""name"":""BMO Field"",""city"":""Toronto, ON"",""country"":""Canada"",""capacity"":45736}"
16,Estadio Akron,Guadalajara,Mexico,49850,"{""id"":16,""name"":""Estadio Akron"",""city"":""Guadalajara"",""country"":""Mexico"",""capacity"":49850}"
14,Estadio Azteca,Mexico City,Mexico,87523,"{""id"":14,""name"":""Estadio Azteca"",""city"":""Mexico City"",""country"":""Mexico"",""capacity"":87523}"
15,Estadio BBVA,Monterrey,Mexico,53500,"{""id"":15,""name"":""Estadio BBVA"",""city"":""Monterrey"",""country"":""Mexico"",""capacity"":53500}"
8,Arrowhead Stadium,"Kansas City, MO",USA,76416,"{""id"":8,""name"":""Arrowhead Stadium"",""city"":""Kansas City, MO"",""country"":""USA"",""capacity"":76416}"
2,AT&T Stadium,"Arlington, TX",USA,80000,"{""id"":2,""name"":""AT&T Stadium"",""city"":""Arlington, TX"",""country"":""USA"",""capacity"":80000}"
9,Gillette Stadium,"Foxborough, MA",USA,65878,"{""id"":9,""name"":""Gillette Stadium"",""city"":""Foxborough, MA"",""country"":""USA"",""capacity"":65878}"
5,Hard Rock Stadium,"Miami Gardens, FL",USA,65326,"{""id"":5,""name"":""Hard Rock Stadium"",""city"":""Miami Gardens, FL"",""country"":""USA"",""capacity"":65326}"
4,Levi's Stadium,"Santa Clara, CA",USA,68500,"{""id"":4,""name"":""Levi's Stadium"",""city"":""Santa Clara, CA"",""country"":""USA"",""capacity"":68500}"
7,Lincoln Financial Field,"Philadelphia, PA",USA,69796,"{""id"":7,""name"":""Lincoln Financial Field"",""city"":""Philadelphia, PA"",""country"":""USA"",""capacity"":69796}"
6,Lumen Field,"Seattle, WA",USA,69000,"{""id"":6,""name"":""Lumen Field"",""city"":""Seattle, WA"",""country"":""USA"",""capacity"":69000}"
17,Mercedes-Benz Stadium,"Atlanta, GA",USA,71000,"{""id"":17,""name"":""Mercedes-Benz Stadium"",""city"":""Atlanta, GA"",""country"":""USA"",""capacity"":71000}"
1,MetLife Stadium,"East Rutherford, NJ",USA,82500,"{""id"":1,""name"":""MetLife Stadium"",""city"":""East Rutherford, NJ"",""country"":""USA"",""capacity"":82500}"
10,NRG Stadium,"Houston, TX",USA,72220,"{""id"":10,""name"":""NRG Stadium"",""city"":""Houston, TX"",""country"":""USA"",""capacity"":72220}"
11,Rose Bowl,"Pasadena, CA",USA,88565,"{""id"":11,""name"":""Rose Bowl"",""city"":""Pasadena, CA"",""country"":""USA"",""capacity"":88565}"
3,SoFi Stadium,"Inglewood, CA",USA,70240,"{""id"":3,""name"":""SoFi Stadium"",""city"":""Inglewood, CA"",""country"":""USA"",""capacity"":70240}"
